Country Name,ISO3,Year,Inward_FDI_Net_Flow_GDP_Pct,Inward_FDI_Net_Flow_GDP_Pct_Derived,Flow_GDP_Pct_Official_Minus_Derived,Absolute_Difference_Pct_Points
Aruba,ABW,2020,6.544628631062493,6.544628631062493,0.0,0.0
Aruba,ABW,2021,4.62204992644621,4.62204992644621,0.0,0.0
Aruba,ABW,2022,7.459416910668307,7.459416910668307,0.0,0.0
Aruba,ABW,2023,-3.6689355783496644,-3.6689355783496644,0.0,0.0
Aruba,ABW,2024,2.477466300856397,2.477466300856397,0.0,0.0
Afghanistan,AFG,2000,0.004827600617340383,0.004827600617340383,0.0,0.0
Afghanistan,AFG,2001,0.02416856790888892,0.02416856790888892,0.0,0.0
Afghanistan,AFG,2002,1.3069498704288407,1.3069498704288407,0.0,0.0
Afghanistan,AFG,2003,1.2784932519642351,1.2784932519642351,0.0,0.0
Afghanistan,AFG,2004,3.5771042005840017,3.5771042005840017,0.0,0.0
Afghanistan,AFG,2005,4.368673104342874,4.368673104342874,0.0,0.0
Afghanistan,AFG,2006,3.4137729732320112,3.4137729732320112,0.0,0.0
Afghanistan,AFG,2007,1.935701713916356,1.935701713916356,0.0,0.0
Afghanistan,AFG,2008,0.45536044478174004,0.45536044478174004,0.0,0.0
Afghanistan,AFG,2009,0.4518891456218896,0.4518891456218896,0.0,0.0
Afghanistan,AFG,2010,1.2031179898113904,1.2031179898113904,0.0,0.0
Afghanistan,AFG,2011,0.29302517961680297,0.29302517961680297,0.0,0.0
Afghanistan,AFG,2012,0.28544089355457103,0.28544089355457103,0.0,0.0
Afghanistan,AFG,2013,0.2398011844055509,0.2398011844055509,0.0,0.0
Afghanistan,AFG,2014,0.20966479467220256,0.20966479467220256,0.0,0.0
Afghanistan,AFG,2015,0.88400046336123,0.88400046336123,0.0,0.0
Afghanistan,AFG,2016,0.5166060845230934,0.5166060845230934,0.0,0.0
Afghanistan,AFG,2017,0.2747967915728065,0.2747967915728065,0.0,0.0
Afghanistan,AFG,2018,0.6615722177871963,0.6615722177871963,0.0,0.0
Afghanistan,AFG,2019,0.12449598529125788,0.12449598529125788,0.0,0.0
Afghanistan,AFG,2020,0.06499395718087549,0.06499395718087549,0.0,0.0
Afghanistan,AFG,2021,0.1444669466068614,0.1444669466068614,0.0,0.0
Angola,AGO,1990,-2.9814286915521793,-2.9814286915521793,0.0,0.0
Angola,AGO,1991,6.266630535714289,6.266630535714289,0.0,0.0
Angola,AGO,1992,3.4660875279354144,3.4660875279354144,0.0,0.0
Angola,AGO,1993,5.236863254251697,5.236863254251697,0.0,0.0
Angola,AGO,1994,3.837036558029789,3.837036558029789,0.0,0.0
Angola,AGO,1995,8.529488839949918,8.529488839949918,0.0,0.0
Angola,AGO,1996,2.399001963152294,2.399001963152294,0.0,0.0
Angola,AGO,1997,5.382316117560089,5.382316117560089,0.0,0.0
Angola,AGO,1998,17.121611678535096,17.121611678535096,0.0,0.0
Angola,AGO,1999,40.16724856304235,40.16724856304235,0.0,0.0
Angola,AGO,2000,9.623866150387112,9.623866150387112,0.0,0.0
Angola,AGO,2001,24.00907570013414,24.00907570013414,0.0,0.0
Angola,AGO,2002,10.071355733522934,10.071355733522934,0.0,0.0
Angola,AGO,2003,17.58405885714761,17.58405885714761,0.0,0.0
Angola,AGO,2004,8.138490328573383,8.138490328573383,0.0,0.0
Angola,AGO,2005,-3.1496204616989423,-3.1496204616989423,0.0,0.0
Angola,AGO,2006,-0.06430094901690618,-0.06430094901690618,0.0,0.0
Angola,AGO,2007,-1.2231226622549298,-1.2231226622549298,0.0,0.0
Angola,AGO,2008,1.6995279392911653,1.6995279392911653,0.0,0.0
Angola,AGO,2009,2.699092400161833,2.699092400161833,0.0,0.0
Angola,AGO,2010,-3.3776192793543096,-3.3776192793543096,0.0,0.0
Angola,AGO,2011,-2.4083883678161864,-2.4083883678161864,0.0,0.0
