sample_id,signal,target_role,target,universe,universe_type,universe_threshold,validation,split_id,train_rows,test_rows,train_countries,test_countries,algorithm,model,r2,mae,median_ae,target_mean,target_sd,target_min,target_p01,target_median,target_p99,target_max,prediction_min,prediction_median,prediction_max,features_json,prediction_span,target_span
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_3,3831,903,148,37,RandomForest,M1_Macro,0.058326957397866,5.078237194561976,1.102983955933917,5.945807192200678,28.06358636491248,-296.0133334563628,-10.178476300902211,1.9897401699268915,107.6480981353161,431.7885759104592,-5.783390912878636,2.508179461205321,348.72727130452574,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]",354.5106622174044,727.801909366822
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_3,3831,903,148,37,RandomForest,M2_Macro_Oil,0.1071122693212469,5.153724053649302,1.2510178671685344,5.945807192200678,28.06358636491248,-296.0133334563628,-10.178476300902211,1.9897401699268915,107.6480981353161,431.7885759104592,-26.27549628407564,2.591838687890176,315.62697389349404,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]",341.9024701775697,727.801909366822
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_3,3831,903,148,37,Ridge,M1_Macro,0.0678982035408142,5.440429321998024,1.635013299790473,5.945807192200678,28.06358636491248,-296.0133334563628,-10.178476300902211,1.9897401699268915,107.6480981353161,431.7885759104592,-191.3454914059741,3.358680490193889,288.7491835945338,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]",480.0946750005079,727.801909366822
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_3,3831,903,148,37,Ridge,M2_Macro_Oil,0.0676283344819034,5.5191870671978185,1.7537108265361052,5.945807192200678,28.06358636491248,-296.0133334563628,-10.178476300902211,1.9897401699268915,107.6480981353161,431.7885759104592,-191.00271541011176,3.381272579164431,288.776613983071,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]",479.77932939318276,727.801909366822
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_4,3729,1005,146,39,ElasticNet,M1_Macro,0.4507145983195698,6.505878343561367,1.4919157373154004,9.30341208180284,73.22429223314211,-40.10824601697438,-4.019254920771766,2.814135578124266,59.38149858093247,1709.8272317393,-19.48769781158608,4.250941002308755,955.1761810185318,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]",974.6638788301178,1749.9354777562744
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_4,3729,1005,146,39,ElasticNet,M2_Macro_Oil,0.4506729451935055,6.518301127883447,1.5287690721147251,9.30341208180284,73.22429223314211,-40.10824601697438,-4.019254920771766,2.814135578124266,59.38149858093247,1709.8272317393,-19.28261468808589,4.327816326685953,954.065474129774,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]",973.3480888178599,1749.9354777562744
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_4,3729,1005,146,39,RandomForest,M1_Macro,0.3876937440475659,6.455757559927081,1.209551012800511,9.30341208180284,73.22429223314211,-40.10824601697438,-4.019254920771766,2.814135578124266,59.38149858093247,1709.8272317393,-4.812330612879237,3.1447034824718,279.7107222636181,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]",284.52305287649733,1749.9354777562744
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_4,3729,1005,146,39,RandomForest,M2_Macro_Oil,0.3799681892290563,6.449974233567364,1.2188798171558872,9.30341208180284,73.22429223314211,-40.10824601697438,-4.019254920771766,2.814135578124266,59.38149858093247,1709.8272317393,-4.764175798613291,3.2152569930781416,276.51928188307886,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]",281.28345768169214,1749.9354777562744
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_4,3729,1005,146,39,Ridge,M1_Macro,0.4513493625672056,6.502433490004169,1.4847073162344406,9.30341208180284,73.22429223314211,-40.10824601697438,-4.019254920771766,2.814135578124266,59.38149858093247,1709.8272317393,-19.59220718717608,4.222512200060658,959.855072950524,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1""]",979.4472801377001,1749.9354777562744
M1_Macro_vs_M2_Macro_Oil__raw_ratio_stress__All_Eligible,Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,Inward_FDI_Net_Flow_GDP_Pct,All_Eligible,all,,Country_Holdout_CV,fold_4,3729,1005,146,39,Ridge,M2_Macro_Oil,0.4513091198627145,6.516200285913085,1.5479105480165056,9.30341208180284,73.22429223314211,-40.10824601697438,-4.019254920771766,2.814135578124266,59.38149858093247,1709.8272317393,-19.381758465351098,4.32674896707292,958.7081019762408,"[""Inward_FDI_Net_Flow_GDP_Pct_lag1"", ""GDP_log_lag1"", ""Population_log_lag1"", ""Inflation_CPI_Annual_Pct_lag1"", ""Electricity_Access_Pct_lag1"", ""Oil_Rents_GDP_Pct_lag1""]",978.0898604415919,1749.9354777562744
