signal,target_role,universe,validation,algorithm,model,min_r2,median_r2,max_r2,r2_range
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,ElasticNet,M1_Macro,0.2299606100396162,0.2755003397904474,0.3017450714220748,0.07178446138245859
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,ElasticNet,M2_Macro_Oil,0.2391935522101447,0.2805960554578166,0.3082358267920512,0.06904227458190648
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,RandomForest,M1_Macro,0.2532582382913684,0.2602428652178805,0.3009431162908451,0.04768487799947668
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,RandomForest,M2_Macro_Oil,0.2427635826793441,0.2734816976342428,0.3295566804440903,0.08679309776474622
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,Ridge,M1_Macro,0.2269591649358802,0.275481280741905,0.3009012008174309,0.07394203588155068
Oil_Rents_GDP_Pct_lag1,normalized,Oil_Rent_Intensive_Pre2016_ge5pct,Future_Period,Ridge,M2_Macro_Oil,0.2360306332857772,0.2806064159811915,0.3073356064743082,0.07130497318853099
Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,ElasticNet,M1_Macro,0.0696700110000444,0.3903595397119052,0.4691420603370694,0.399472049337025
Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,ElasticNet,M2_Macro_Oil,0.0694065582647271,0.3906628690621104,0.4724833563084434,0.4030767980437163
Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,RandomForest,M1_Macro,-39.91038566663989,0.3227124359664143,0.4142478985902748,40.324633565230165
Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,RandomForest,M2_Macro_Oil,-16.556780757226054,0.3395398729632753,0.3815781249698613,16.938358882195914
Oil_Rents_GDP_Pct_lag1,raw_ratio_stress,All_Eligible,Country_Holdout_CV,Ridge,M1_Macro,0.0678982035408142,0.3904146741598858,0.4674603855916835,0.3995621820508693
