Row_ID,Country Name,ISO3,Year,Country_Fold,Max_Oil_Rents_Pre2016,Inward_FDI_Net_Flow_asinh,Electricity_Access_Pct_lag1,GDP_log_lag1,Inflation_CPI_Annual_Pct_lag1,Inward_FDI_Net_Flow_asinh_lag1,Oil_Rents_GDP_Pct_lag1,Population_log_lag1
OMN-2006,Oman,OMN,2006,1,49.6173962343468,8.068464978125633,99.9,24.292992657362547,1.909835535318648,8.031620459653542,42.841561539357,14.715591823401054
OMN-2007,Oman,OMN,2007,1,49.6173962343468,8.804511110847777,99.9,24.474594912222237,3.544985916050331,8.068464978125633,40.7520000982427,14.737702244906034
OMN-2008,Oman,OMN,2008,1,49.6173962343468,8.683346629202575,100.0,24.60070547455027,5.830484180927101,8.804511110847777,37.7986997972135,14.759484547938367
OMN-2009,Oman,OMN,2009,1,49.6173962343468,8.01250399154874,100.0,24.968966913311306,12.37540915299119,8.683346629202575,37.9131008037865,14.781174141355468
OMN-2010,Oman,OMN,2010,1,49.6173962343468,7.81815106738565,100.0,24.738821420509726,3.468810237548931,8.01250399154874,30.5131215016084,14.8030646484842
OMN-2011,Oman,OMN,2011,1,49.6173962343468,8.088957487964633,100.0,24.897553071845092,3.256579590786242,7.81815106738565,32.5688653439524,14.829815809616832
OMN-2012,Oman,OMN,2012,1,49.6173962343468,7.911785475537867,100.0,25.07351189227852,4.0421886711639,8.088957487964633,40.4074409203453,14.939388953280185
OMN-2013,Oman,OMN,2013,1,49.6173962343468,8.078645510385073,100.0,25.19386228901866,2.947734952572092,7.911785475537867,37.5396768679582,15.081642899638512
OMN-2014,Oman,OMN,2014,1,49.6173962343468,7.852708176769751,100.0,25.2223643745622,1.053548202659318,8.078645510385073,35.9895065337986,15.159396771454563
OMN-2015,Oman,OMN,2015,1,49.6173962343468,-8.376749665330404,100.0,25.2526244899222,1.014014839241558,7.852708176769751,31.6791185960483,15.20241473310979
OMN-2016,Oman,OMN,2016,1,49.6173962343468,8.418949659349142,100.0,25.0890461270448,0.0652901330286599,-8.376749665330404,18.8680645519097,15.24699241093982
OMN-2017,Oman,OMN,2017,1,49.6173962343468,8.658186948680479,100.0,25.042468993922416,1.109208058070266,8.418949659349142,16.2724873177614,15.29503976505402
OMN-2018,Oman,OMN,2018,1,49.6173962343468,9.323808383060266,100.0,25.11594425206975,1.589094135677986,8.658186948680479,19.3050063067708,15.327864057573082
OMN-2019,Oman,OMN,2019,1,49.6173962343468,8.293139015083906,100.0,25.239668760806182,0.8893123709704039,9.323808383060266,23.7087990780384,15.341105450677912
OMN-2020,Oman,OMN,2020,1,49.6173962343468,8.247740210224338,100.0,25.201293983518568,0.4908153628206712,8.293139015083906,21.6117797561797,15.339661133669628
