Row_ID,Country Name,ISO3,Year,Country_Fold,Max_Oil_Rents_Pre2016,Inward_FDI_Net_Flow_asinh,Electricity_Access_Pct_lag1,GDP_log_lag1,Inflation_CPI_Annual_Pct_lag1,Inward_FDI_Net_Flow_asinh_lag1,Oil_Rents_GDP_Pct_lag1,Population_log_lag1,Regulatory_Quality_lag1
GNQ-2021,Equatorial Guinea,GNQ,2021,3,82.776896134566,7.023930026765189,66.7,23.015175753332784,4.766695239442282,-2.9014174886084447,10.7521167179464,14.355779831710974,-1.4963872
GNQ-2022,Equatorial Guinea,GNQ,2022,3,82.776896134566,7.9289045109904865,66.8,23.22600242067051,-0.0971007664640198,7.023930026765189,14.9400221325798,14.380134924858249,-1.4969104
IRN-2001,"Iran, Islamic Rep.",IRN,2001,4,31.6076762648214,6.7047068919892965,97.9,25.42002754986828,14.47675131885666,4.356873151729317,30.6637746707723,18.011488599063174,-1.6776936999999998
IRN-2003,"Iran, Islamic Rep.",IRN,2003,4,31.6076762648214,8.657817922136909,98.1,25.580181938703557,14.33593373784039,8.859187419749375,20.4437414632993,18.03518469046705,-1.3953366
IRN-2004,"Iran, Islamic Rep.",IRN,2004,4,31.6076762648214,8.711871396840907,98.2,25.746562122163496,16.46801162447918,8.657817922136909,22.0449174416527,18.046268578583245,-1.3519161
IRN-2005,"Iran, Islamic Rep.",IRN,2005,4,31.6076762648214,8.661879253530778,98.3,25.958401474823773,14.76150869706724,8.711871396840907,25.1990020398231,18.0676607838436,-1.2344334
IRN-2006,"Iran, Islamic Rep.",IRN,2006,4,31.6076762648214,8.441408137137596,98.4,26.139234547482843,13.43311800850802,8.661879253530778,31.6076762648214,18.089791278622965,-1.2647461
IRN-2007,"Iran, Islamic Rep.",IRN,2007,4,31.6076762648214,8.302906241317181,98.4,26.30526549022503,10.01589825119239,8.441408137137596,31.5582038058527,18.111335687613675,-1.2655921
IRN-2008,"Iran, Islamic Rep.",IRN,2008,4,31.6076762648214,8.283993312444405,98.7,26.5804461133266,17.34104046242766,8.302906241317181,26.1252401169156,18.127686573926923,-1.3434552
IRN-2009,"Iran, Islamic Rep.",IRN,2009,4,31.6076762648214,8.693973421310117,98.8,26.729793733878903,25.41050903119872,8.283993312444405,30.5659738980313,18.139831342217438,-1.3877209
IRN-2010,"Iran, Islamic Rep.",IRN,2010,4,31.6076762648214,8.895348074768016,99.7,26.749274542010408,13.55155482815062,8.693973421310117,17.5512587993854,18.15224985266064,-1.4986655
IRN-2011,"Iran, Islamic Rep.",IRN,2011,4,31.6076762648214,9.054088527554262,99.4,26.91167280498997,10.08936292879791,8.895348074768016,20.2248363529261,18.16476659171376,-1.4215061999999998
IRN-2012,"Iran, Islamic Rep.",IRN,2012,4,31.6076762648214,9.140290038779648,99.5,27.16752786009395,26.2933856738608,9.054088527554262,22.3514589221281,18.17712526700744,-1.1976073
IRN-2013,"Iran, Islamic Rep.",IRN,2013,4,31.6076762648214,8.71602604408739,99.5,27.19099455484408,27.25681272429084,9.140290038779648,18.4120723402826,18.189638341186416,-1.2487391
IRN-2014,"Iran, Islamic Rep.",IRN,2014,4,31.6076762648214,8.345452634872334,99.8,26.93867329547692,36.60303551910293,8.71602604408739,21.2565665523955,18.20270739159566,-1.3745965
IRN-2015,"Iran, Islamic Rep.",IRN,2015,4,31.6076762648214,8.318742312180794,100.0,26.85944697378467,16.60655323574489,8.345452634872334,21.2353758265799,18.21613868219046,-1.3019342
IRN-2016,"Iran, Islamic Rep.",IRN,2016,4,31.6076762648214,8.816408521668635,100.0,26.73744955434066,12.48468156115333,8.318742312180794,12.2663527393474,18.229754629905592,-1.0907749
IRN-2017,"Iran, Islamic Rep.",IRN,2017,4,31.6076762648214,9.21413318013931,100.0,26.894168756948638,7.245425489529789,8.816408521668635,10.8895031509112,18.24408948559304,-1.0558723
IRN-2018,"Iran, Islamic Rep.",IRN,2018,4,31.6076762648214,8.465057481391776,99.9,26.958146831323383,8.044924376602776,9.21413318013931,14.6204399688795,18.258476529632457,-1.0828666999999998
IRN-2019,"Iran, Islamic Rep.",IRN,2019,4,31.6076762648214,8.011686839063168,100.0,26.744054458766684,18.01411833718742,8.465057481391776,27.6646471563106,18.2712289951696,-1.2929956
IRN-2020,"Iran, Islamic Rep.",IRN,2020,4,31.6076762648214,7.895063636906089,100.0,26.575434985587822,39.90734556977835,8.011686839063168,20.0780490508657,18.282012167135186,-1.3605617
