Row_ID,Country Name,ISO3,Year,Country_Fold,Max_Oil_Rents_Pre2016,Inward_FDI_Net_Flow_GDP_Pct_asinh,Electricity_Access_Pct_lag1,GDP_log_lag1,Inflation_CPI_Annual_Pct_lag1,Inward_FDI_Net_Flow_GDP_Pct_asinh_lag1,Oil_Rents_GDP_Pct_lag1,Population_log_lag1
KAZ-2007,Kazakhstan,KAZ,2007,4,24.7022127271689,3.130340192327428,99.8,25.117762701974744,8.721693860917256,2.9362569605602062,21.1400400879889,16.59456067287363
KAZ-2008,Kazakhstan,KAZ,2008,4,24.7022127271689,3.228725791825704,100.0,25.37579578417838,10.84683620755567,3.130340192327428,18.7183777371544,16.604047368201186
KAZ-2009,Kazakhstan,KAZ,2009,4,24.7022127271689,3.2109036132498585,100.0,25.616930131992667,17.13989977720698,3.228725791825704,22.9379468470309,16.614408025173073
KAZ-2010,Kazakhstan,KAZ,2010,4,24.7022127271689,2.3195338452661165,100.0,25.470878603468176,7.316078582885775,3.2109036132498585,15.4811753728879,16.62610814157303
KAZ-2011,Kazakhstan,KAZ,2011,4,24.7022127271689,2.664214977426106,100.0,25.720797980098503,7.400463563413957,2.3195338452661165,14.3876480168855,16.639078178299272
KAZ-2012,Kazakhstan,KAZ,2012,4,24.7022127271689,2.580145569278974,99.8,25.984018734026037,8.4529046617679,2.664214977426106,18.3529532976804,16.65259891386677
KAZ-2013,Kazakhstan,KAZ,2013,4,24.7022127271689,2.149197505300178,100.0,26.06079703617593,5.195683690350729,2.580145569278974,16.1210271615703,16.666570002956473
KAZ-2014,Kazakhstan,KAZ,2014,4,24.7022127271689,1.909457027112299,100.0,26.189783030586693,5.942838716484185,2.149197505300178,13.575329365067,16.680934980553214
KAZ-2015,Kazakhstan,KAZ,2015,4,24.7022127271689,1.9840666886929317,100.0,26.12330737685032,6.849449770033578,1.909457027112299,13.4439854013249,16.695623540776573
KAZ-2016,Kazakhstan,KAZ,2016,4,24.7022127271689,3.2241828711822844,100.0,25.940310264893544,6.678285856152362,1.9840666886929317,6.77396398337604,16.71054752792754
KAZ-2017,Kazakhstan,KAZ,2017,4,24.7022127271689,1.7705948134366298,100.0,25.64527623546937,14.36109423862478,3.2241828711822844,6.9499320090465,16.72588105682268
KAZ-2018,Kazakhstan,KAZ,2018,4,24.7022127271689,0.1957430365835573,100.0,25.840096031474083,7.442663213067925,1.7705948134366298,9.66346231175396,16.741460291182065
KAZ-2019,Kazakhstan,KAZ,2019,4,24.7022127271689,1.4673858239708129,100.0,25.912549158078004,6.163662475777625,0.1957430365835573,15.0881830400628,16.756402622681176
KAZ-2020,Kazakhstan,KAZ,2020,4,24.7022127271689,2.144887581127431,100.0,25.92544219535308,5.333560989166689,1.4673858239708129,13.3329218324239,16.77091842151563
KAZ-2021,Kazakhstan,KAZ,2021,4,24.7022127271689,1.5769402944656707,100.0,25.865410949192565,6.718154548614583,2.144887581127431,7.12577724575059,16.785007577167708
KAZ-2022,Kazakhstan,KAZ,2022,4,24.7022127271689,1.5516005636655774,100.0,26.007039227566874,8.04147134028401,1.5769402944656707,14.8448016221428,16.79834014876002
KWT-1991,Kuwait,KWT,1991,2,58.3689295808333,0.0072660619269371,100.0,23.63712502505752,9.83363531543402,0.030384230294235,38.8702984792295,14.337169291136597
KWT-1992,Kuwait,KWT,1992,2,58.3689295808333,0.1768340899719236,100.0,23.122069215850445,9.05818836232758,0.0072660619269371,13.2175755622103,14.116651650100213
KWT-1993,Kuwait,KWT,1993,2,58.3689295808333,0.0553240284729894,100.0,23.711900744464167,-0.54547121378821,0.1768340899719236,28.1344138531383,14.307130120453186
KWT-1994,Kuwait,KWT,1994,2,58.3689295808333,2.510314822571542,100.0,23.89887465534258,0.3825413651659155,0.0553240284729894,39.371407198475,14.329621977585711
KWT-1995,Kuwait,KWT,1995,2,58.3689295808333,0.0246465867240793,100.0,23.936062575128062,2.534435261707919,2.510314822571542,36.6059380592587,14.324952424780063
KWT-1996,Kuwait,KWT,1996,2,58.3689295808333,0.952343344953096,100.0,24.02600404299381,2.686727565824844,0.0246465867240793,36.227064016639,14.335205136027296
KWT-1997,Kuwait,KWT,1997,2,58.3689295808333,0.0651239231587681,100.0,24.173011236312167,3.553985696842866,0.952343344953096,40.1364091145126,14.363774730849116
KWT-1998,Kuwait,KWT,1998,2,58.3689295808333,0.2257389596616946,100.0,24.136068637972084,0.6821914347076039,0.0651239231587681,38.3929185854833,14.39643148531558
KWT-1999,Kuwait,KWT,1999,2,58.3689295808333,0.2376768042344548,100.0,23.979194865511683,0.1296582876740268,0.2257389596616946,27.927039066817,14.427611986302985
KWT-2000,Kuwait,KWT,2000,2,58.3689295808333,0.0432007111038773,100.0,24.12853378427853,2.990810359231657,0.2376768042344548,33.8805324667688,14.45738075979304
KWT-2001,Kuwait,KWT,2001,2,58.3689295808333,-0.3144202452066318,100.0,24.35342298241438,1.81294613887089,0.0432007111038773,50.2892381187247,14.485752402802586
KWT-2002,Kuwait,KWT,2002,2,58.3689295808333,0.0094907901253364,100.0,24.27545347730005,1.299999999999992,-0.3144202452066318,42.7980143074398,14.512710514920238
KWT-2003,Kuwait,KWT,2003,2,58.3689295808333,-0.1397267955409922,100.0,24.364419006659315,0.8884501480749066,0.0094907901253364,37.2003716194143,14.538204404769791
KWT-2004,Kuwait,KWT,2004,2,58.3689295808333,0.0399512364116382,100.0,24.591850558196885,0.9613502935421122,-0.1397267955409922,39.816851302288,14.562142579717818
KWT-2005,Kuwait,KWT,2005,2,58.3689295808333,0.2855920468298514,100.0,24.808217937804336,1.248564436798894,0.0399512364116382,46.1128336408051,14.584377732101526
KWT-2006,Kuwait,KWT,2006,2,58.3689295808333,0.1191632184254619,100.0,25.11522584859195,4.142975836310232,0.2855920468298514,53.3164834648164,14.620551913269908
KWT-2007,Kuwait,KWT,2007,2,58.3689295808333,0.097144314617725,100.0,25.343889310692543,3.057013391667222,0.1191632184254619,51.0394540758358,14.676176100009606
KWT-2008,Kuwait,KWT,2008,2,58.3689295808333,-0.0040383683632756,100.0,25.4650106596144,5.484949832775961,0.097144314617725,48.1550015709463,14.734951522640502
