Feature_Set,Model,N_obs,N_countries,R2_mean,R2_std,R2_min,R2_max,RMSE_mean,RMSE_std,MAE_mean,MAE_std
M5,RandomForest,180,60,0.7241378616590437,0.0776179599760278,0.5984818977622456,0.8219562701850349,0.8043769095162947,0.06724691441481863,0.606409584258512,0.09001053068229335
M5,XGBoost,180,60,0.7154368234209247,0.08961407724268307,0.6181957875351252,0.8555967539890894,0.8073665029787074,0.055417915621239974,0.6586784647967256,0.04857642629794999
M5,LightGBM,180,60,0.6805977942707269,0.09899317902086917,0.5758834620842632,0.8592471224974264,0.8569102013058139,0.10268646430230195,0.6799115798850435,0.08034165219551505
M5,Dummy_mean,180,60,-0.2657625774224544,0.25944254414725165,-0.650175945620979,-0.010623689627655919,1.7462968036770579,0.20744196615051946,1.4714591549103628,0.1652942682377818
M6,ElasticNet,120,60,0.8291231775053796,0.07496789331230291,0.7454659183982879,0.9566055032425701,0.6051049297034974,0.13239002655275428,0.4877147633518228,0.10844326194945575
M6,Ridge,120,60,0.7748928002060074,0.09188164451188381,0.6349128154560502,0.89849036814434,0.7083904540463509,0.11578803903989662,0.5770721463299362,0.09434669471430072
M6,GradBoost,120,60,0.7221832999367288,0.0883625165422517,0.6127324200239567,0.8580043195918318,0.7905844623673175,0.043559938470039264,0.6162614492528453,0.018125965580057687
M6,RandomForest,120,60,0.7105468352747087,0.0638385395298132,0.6332061246679308,0.8237608371995284,0.8206715395773015,0.06385126112099006,0.6353984432209889,0.06922960011132281
M6,XGBoost,120,60,0.6965735549288647,0.11149809592673975,0.5378978126240759,0.8597580327924452,0.8198347354876081,0.07335306305649318,0.6549823431580863,0.08088218025793688
M6,LightGBM,120,60,0.6874799723640349,0.07794117256899041,0.6093647360416219,0.8305769118507128,0.8518026755120729,0.10631980656408356,0.6766391869920484,0.0946630326118788
M6,Dummy_mean,120,60,-0.2654421037935938,0.26433643009018654,-0.6698063020643137,-0.009110907122764411,1.7308025538759502,0.21075864201303915,1.4557847641367263,0.16258192252591208
